net_profit_margin,kepuasan_pelanggan,peak_hour_latency,review_volatility,repeat_order_rate,digital_adoption_score,monthly_revenue,business_tenure_months,class,business_tenure_months_numeric,business_tenure_years,year_revenue
22.72,4.75,Low,0.313,19.4,4.24,6680716.0,Di atas 24 Bulan,Growth,105,8.75,80168592.0
4.46,4.21,Med,0.632,14.87,1.27,5819101.0,Di atas 24 Bulan,Growth,95,7.916666666666667,69829212.0
-10.12,3.51,Med,0.47,21.0,3.37,5236404.0,Di bawah 24 Bulan,Struggling,17,1.4166666666666667,62836848.0
0.04,4.33,Low,0.206,30.62,5.41,8043552.0,Di atas 24 Bulan,Growth,109,9.083333333333334,96522624.0
4.22,4.34,Low,0.232,20.87,2.67,6071256.0,Di atas 24 Bulan,Growth,74,6.166666666666667,72855072.0
29.68,4.54,Low,0.185,26.35,5.59,6683141.0,Di bawah 24 Bulan,Elite,23,1.9166666666666667,80197692.0
15.28,4.54,Med,0.434,22.15,3.95,14123932.0,Di atas 24 Bulan,Growth,105,8.75,169487184.0
8.51,4.83,Low,0.346,23.17,7.59,8483571.0,Di atas 24 Bulan,Growth,124,10.333333333333334,101802852.0
6.0,4.86,Low,0.285,15.85,6.56,14900709.0,Di atas 24 Bulan,Growth,77,6.416666666666667,178808508.0
-13.64,4.39,Low,0.182,17.3,3.22,9232562.0,Di atas 24 Bulan,Struggling,90,7.5,110790744.0
14.65,4.58,Low,0.296,9.29,2.93,5185817.0,Di atas 24 Bulan,Growth,119,9.916666666666666,62229804.0
9.97,4.7,Low,0.303,32.18,5.9,8576272.0,Di atas 24 Bulan,Growth,102,8.5,102915264.0
-7.62,4.16,Med,0.515,17.94,5.21,6921656.0,Di atas 24 Bulan,Struggling,106,8.833333333333334,83059872.0
27.6,4.66,Low,0.238,23.47,6.63,11406669.0,Di atas 24 Bulan,Growth,154,12.833333333333334,136880028.0
-17.74,3.34,Med,0.565,17.17,1.04,5134697.0,Di atas 24 Bulan,Critical,133,11.083333333333334,61616364.0
13.79,4.01,Low,0.243,15.59,3.72,35355945.0,Di atas 24 Bulan,Growth,152,12.666666666666666,424271340.0
33.99,4.83,Low,0.244,25.56,7.39,10714242.0,Di atas 24 Bulan,Elite,55,4.583333333333333,128570904.0
-11.0,3.56,Low,0.2,6.01,1.99,1506570.0,Di bawah 24 Bulan,Critical,4,0.3333333333333333,18078840.0
13.3,3.96,Med,0.411,9.63,2.73,5682700.0,Di atas 24 Bulan,Growth,90,7.5,68192400.0
10.28,4.29,Low,0.201,19.67,4.92,21875387.0,Di atas 24 Bulan,Growth,160,13.333333333333334,262504644.0
15.86,4.66,Low,0.272,16.55,5.63,8303241.0,Di atas 24 Bulan,Growth,40,3.3333333333333335,99638892.0
-6.64,4.03,High,0.575,25.8,1.0,5460055.0,Di atas 24 Bulan,Struggling,132,11.0,65520660.0
1.02,4.04,Med,0.611,14.46,2.85,5179761.0,Di bawah 24 Bulan,Growth,23,1.9166666666666667,62157132.0
-24.2,3.09,High,0.572,20.98,2.31,11306944.0,Di atas 24 Bulan,Critical,163,13.583333333333334,135683328.0
-6.86,3.96,Med,0.531,23.83,5.59,7426631.0,Di atas 24 Bulan,Struggling,60,5.0,89119572.0
-19.58,3.39,Med,0.584,14.27,3.55,3339849.0,Di bawah 24 Bulan,Struggling,24,2.0,40078188.0
-3.76,3.72,Low,0.353,19.29,4.43,10248379.0,Di atas 24 Bulan,Growth,91,7.583333333333333,122980548.0
6.5,4.11,Med,0.428,10.02,2.37,4493621.0,Di atas 24 Bulan,Growth,51,4.25,53923452.0
5.72,4.32,Low,0.247,19.2,4.27,4999894.0,Di atas 24 Bulan,Growth,61,5.083333333333333,59998728.0
5.68,3.61,Med,0.25,15.17,1.0,7613570.0,Di atas 24 Bulan,Growth,172,14.333333333333334,91362840.0
-2.92,3.81,Low,0.17,14.5,1.0,3256137.0,Di bawah 24 Bulan,Growth,17,1.4166666666666667,39073644.0
7.76,4.19,Med,0.322,36.65,6.15,11622949.0,Di atas 24 Bulan,Growth,177,14.75,139475388.0
-0.87,3.59,Med,0.549,19.47,1.15,1608613.0,Di atas 24 Bulan,Growth,53,4.416666666666667,19303356.0
